Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:e5b2:8c0f:3678:3bad:c6b5:9e33,Arizona,2021-07-08T17:33:51.471Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2600:8800:8380:f7:1533:47e8:89e4:1248,Arizona,2021-06-29T04:02:52.218Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:7228:2f50:3ca8:1c73:a6d:b5ca,Arizona,2021-06-06T19:07:40.458Z
SSTV-NKL2-0000000000000004927643,US,Samsung CE 2020 Nike-L UHD TV Smart TV,Samsung CE 2020 Nike-L UHD TV Smart TV,68.2.124.173,Arizona,2021-06-01T03:57:51.767Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-05-18T03:51:29.112Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-04-23T13:38:16.814Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-04-21T17:45:07.722Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-04-01T14:02:21.233Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.2.124.173,Arizona,2021-04-01T05:17:20.953Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-31T18:07:08.980Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,70.166.216.10,Arizona,2021-03-29T22:58:46.827Z
